"region","sector","year","co2.emiss","scenario"
"AK","base load generation","2015",0.487606454494275,"GCAM-USA_REF"
"AL","base load generation","2015",10.4479735109693,"GCAM-USA_REF"
"AR","base load generation","2015",5.40840417335063,"GCAM-USA_REF"
"AZ","base load generation","2015",7.98754392535659,"GCAM-USA_REF"
"CA","base load generation","2015",7.16764389575092,"GCAM-USA_REF"
"CO","base load generation","2015",6.94132091676992,"GCAM-USA_REF"
"CT","base load generation","2015",0.929493955772074,"GCAM-USA_REF"
"DC","base load generation","2015",0.00610964,"GCAM-USA_REF"
"DE","base load generation","2015",0.243889481021298,"GCAM-USA_REF"
"FL","base load generation","2015",19.7860929012614,"GCAM-USA_REF"
"GA","base load generation","2015",9.48457069715879,"GCAM-USA_REF"
"HI","base load generation","2015",1.06975558432747,"GCAM-USA_REF"
"IA","base load generation","2015",4.567312236,"GCAM-USA_REF"
"ID","base load generation","2015",0.1600904,"GCAM-USA_REF"
"IL","base load generation","2015",9.79313646,"GCAM-USA_REF"
"IN","base load generation","2015",15.98213495,"GCAM-USA_REF"
"KS","base load generation","2015",7.28105947121474,"GCAM-USA_REF"
"KY","base load generation","2015",14.52564456,"GCAM-USA_REF"
"LA","base load generation","2015",5.14902397098987,"GCAM-USA_REF"
"MA","base load generation","2015",1.64394204449457,"GCAM-USA_REF"
"MD","base load generation","2015",2.82910444183179,"GCAM-USA_REF"
"ME","base load generation","2015",0.614781726875612,"GCAM-USA_REF"
"MI","base load generation","2015",10.998048151,"GCAM-USA_REF"
"MN","base load generation","2015",4.315058246,"GCAM-USA_REF"
"MO","base load generation","2015",8.52484187,"GCAM-USA_REF"
"MS","base load generation","2015",1.86508873088872,"GCAM-USA_REF"
"MT","base load generation","2015",1.2567988977585,"GCAM-USA_REF"
"NC","base load generation","2015",9.69378928666541,"GCAM-USA_REF"
"ND","base load generation","2015",4.822999553,"GCAM-USA_REF"
"NE","base load generation","2015",3.806009306,"GCAM-USA_REF"
"NH","base load generation","2015",0.785719022147434,"GCAM-USA_REF"
"NJ","base load generation","2015",1.17600303716661,"GCAM-USA_REF"
"NM","base load generation","2015",4.47455301607171,"GCAM-USA_REF"
"NV","base load generation","2015",0.644979339057272,"GCAM-USA_REF"
"NY","base load generation","2015",2.30382277698162,"GCAM-USA_REF"
"OH","base load generation","2015",14.278583134,"GCAM-USA_REF"
"OK","base load generation","2015",7.23336009085476,"GCAM-USA_REF"
"OR","base load generation","2015",0.480166876140893,"GCAM-USA_REF"
