"region","sector","year","co2.emiss","scenario"
"AK","base load generation","2015",0.490089905,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"AL","base load generation","2015",10.44850684,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"AR","base load generation","2015",5.40882336,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"AZ","base load generation","2015",7.987621358,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"CA","base load generation","2015",7.16792756,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"CO","base load generation","2015",6.9413333608,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"CT","base load generation","2015",0.9322256,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"DC","base load generation","2015",0.00610964,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"DE","base load generation","2015",0.244421616,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"FL","base load generation","2015",19.802419222,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"GA","base load generation","2015",9.4856196749,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"HI","base load generation","2015",1.0921489,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"IA","base load generation","2015",4.567312236,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"ID","base load generation","2015",0.1600904,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"IL","base load generation","2015",9.79313646,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"IN","base load generation","2015",15.98213495,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"KS","base load generation","2015",7.281149592,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"KY","base load generation","2015",14.52564456,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"LA","base load generation","2015",5.18098586,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MA","base load generation","2015",1.64961667,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MD","base load generation","2015",2.83105827,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"ME","base load generation","2015",0.61892476,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MI","base load generation","2015",10.998048151,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MN","base load generation","2015",4.315058246,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MO","base load generation","2015",8.52484187,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MS","base load generation","2015",1.8652126213,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MT","base load generation","2015",1.2629376397,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NC","base load generation","2015",9.697146155,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"ND","base load generation","2015",4.822999553,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NE","base load generation","2015",3.806009306,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NH","base load generation","2015",0.7869464,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NJ","base load generation","2015",1.176606029,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NM","base load generation","2015",4.474658836,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NV","base load generation","2015",0.645110054,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NY","base load generation","2015",2.316111148,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"OH","base load generation","2015",14.278583134,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"OK","base load generation","2015",7.2333740342,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"OR","base load generation","2015",0.4802114335,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"PA","base load generation","2015",12.9059721,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"RI","base load generation","2015",0.264628622,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"SC","base load generation","2015",5.81483532,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"SD","base load generation","2015",0.264764137,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"TN","base load generation","2015",7.57905241134,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"TX","base load generation","2015",41.1587938,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"UT","base load generation","2015",2.098999873,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"VA","base load generation","2015",5.1783674,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"VT","base load generation","2015",0.08082299929,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"WA","base load generation","2015",0.6686793724,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"WI","base load generation","2015",5.18878969,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"WV","base load generation","2015",12.93876284,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"WY","base load generation","2015",9.55168278,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"AL","biomass liquids","2015",0.000311401068027182,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"AR","biomass liquids","2015",0.000392374136864078,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"AZ","biomass liquids","2015",0.00383806831398806,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"CA","biomass liquids","2015",0.0158021339420624,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"CO","biomass liquids","2015",0.00956064899354906,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"FL","biomass liquids","2015",5.42154748733152e-05,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"GA","biomass liquids","2015",0.00869325531446695,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"HI","biomass liquids","2015",4.06037770655377e-05,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"IA","biomass liquids","2015",0.288993870275441,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"ID","biomass liquids","2015",0.00426989881524347,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"IL","biomass liquids","2015",0.112858841615001,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"IN","biomass liquids","2015",0.0860560179374295,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"KS","biomass liquids","2015",0.0383790844230163,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"KY","biomass liquids","2015",0.00303931207470568,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MA","biomass liquids","2015",6.76854177815379e-06,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"ME","biomass liquids","2015",6.76854177815379e-06,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MI","biomass liquids","2015",0.02065089621145,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MN","biomass liquids","2015",0.087997935175963,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MO","biomass liquids","2015",0.0209398853208434,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"MS","biomass liquids","2015",0.00311948374715055,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NC","biomass liquids","2015",6.76854177815353e-05,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"ND","biomass liquids","2015",0.0334958049310286,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NE","biomass liquids","2015",0.144327720494637,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NH","biomass liquids","2015",2.70709806562561e-05,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
"NV","biomass liquids","2015",6.76854177815379e-06,"GCAM-USA_withDAC_NZUSA2050ghg_NZROW2060co2_forest_CCSV3_allEF"
