sector,GCAM_Sector,ghg
Beef,Agriculture,NMVOC_AGR
Beef,Agriculture,NH3_AGR
Corn,Agriculture,NOx_AGR
Dairy,Agriculture,NMVOC_AGR
Dairy,Agriculture,NH3_AGR
FiberCrop,Agriculture,NOx_AGR
FodderGrass,Agriculture,NOx_AGR
FodderHerb,Agriculture,NOx_AGR
Fruits,Agriculture,NOx_AGR
Legumes,Agriculture,NOx_AGR
MiscCrop,Agriculture,NOx_AGR
NutsSeeds,Agriculture,NOx_AGR
OilCrop,Agriculture,NOx_AGR
OtherGrain,Agriculture,NOx_AGR
Pork,Agriculture,NMVOC_AGR
Pork,Agriculture,NH3_AGR
Poultry,Agriculture,NMVOC_AGR
Poultry,Agriculture,NH3_AGR
Rice,Agriculture,NOx_AGR
RootTuber,Agriculture,NOx_AGR
SheepGoat,Agriculture,NMVOC_AGR
SheepGoat,Agriculture,NH3_AGR
Soybean,Agriculture,NOx_AGR
SugarCrop,Agriculture,NOx_AGR
Vegetables,Agriculture,NOx_AGR
Wheat,Agriculture,NOx_AGR
Corn,Agriculture,NH3_AGR
FiberCrop,Agriculture,NH3_AGR
FodderGrass,Agriculture,NH3_AGR
FodderHerb,Agriculture,NH3_AGR
Fruits,Agriculture,NH3_AGR
Legumes,Agriculture,NH3_AGR
MiscCrop,Agriculture,NH3_AGR
NutsSeeds,Agriculture,NH3_AGR
OilCrop,Agriculture,NH3_AGR
OtherGrain,Agriculture,NH3_AGR
Rice,Agriculture,NH3_AGR
RootTuber,Agriculture,NH3_AGR
Soybean,Agriculture,NH3_AGR
SugarCrop,Agriculture,NH3_AGR
Vegetables,Agriculture,NH3_AGR
Wheat,Agriculture,NH3_AGR
oil refining,Refining (oil),NMVOC
comm cooking,Commercial,BC
comm cooking,Commercial,CO
comm cooking,Commercial,NH3
comm cooking,Commercial,NMVOC
comm cooking,Commercial,NOx
comm cooking,Commercial,OC
comm cooking,Commercial,PM10
comm cooking,Commercial,PM2.5
comm cooking,Commercial,SO2_1
industrial processes,Industrial,CO
industrial processes,Industrial,NH3
industrial processes,Industrial,NMVOC
industrial processes,Industrial,NOx
industrial processes,Industrial,PM10
industrial processes,Industrial,PM2.5
industrial processes,Industrial,SO2_1
Corn,Agriculture (AWB),BC_AWB
Corn,Agriculture (AWB),CO_AWB
Corn,Agriculture (AWB),NH3_AWB
Corn,Agriculture (AWB),NMVOC_AWB
Corn,Agriculture (AWB),NOx_AWB
Corn,Agriculture (AWB),OC_AWB
Corn,Agriculture (AWB),SO2_1_AWB
FiberCrop,Agriculture (AWB),BC_AWB
FiberCrop,Agriculture (AWB),CO_AWB
FiberCrop,Agriculture (AWB),NH3_AWB
FiberCrop,Agriculture (AWB),NMVOC_AWB
FiberCrop,Agriculture (AWB),NOx_AWB
FiberCrop,Agriculture (AWB),OC_AWB
FiberCrop,Agriculture (AWB),SO2_1_AWB
Fruits,Agriculture (AWB),BC_AWB
Fruits,Agriculture (AWB),CO_AWB
Fruits,Agriculture (AWB),NH3_AWB
Fruits,Agriculture (AWB),NMVOC_AWB
Fruits,Agriculture (AWB),NOx_AWB
