# WGP in 100 yearsPage 33 of https://www.ipcc.ch/site/assets/uploads/2018/05/ar4_wg1_full_report-1.pdf,,
GHG,GWP,IPCC_AR4
C2F6,12.2,"12,200"
CF4,7.39,"7,390"
CH4,25,25
CH4_AGR,25,25
CH4_AWB,25,25
CO2,3.666666667,1
CO2_LUC,3.666666667,1
HFC125,3.5,"3,500"
HFC134a,1.43,"1,430"
HFC143a,4.47,"4,470"
HFC152a,0.124,124
HFC227ea,3.22,"3,220"
HFC23,14.8,"14,800"
HFC236fa,9.81,"9,810"
HFC245fa,1.03,1030
HFC32,0.675,675
HFC365mfc,0.794,794
HFC43,1.64,"1,640"
N2O,298,298
N2O_AGR,298,298
N2O_AWB,298,298
SF6,22.8,"22,800"
