sector,subsector,technology,ghg,GCAM_Sector,GCAM_Sector_1,EIS Sector,Source Description,SCC LEVEL 1,SCC LEVEL 2
Beef,Mixed,FeedCrops,NMVOC_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Beef,Mixed,FodderHerb_Residue,NMVOC_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Beef,Mixed,Pasture_FodderGrass,NMVOC_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Beef,Pastoral,Pasture_FodderGrass,NMVOC_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Beef,Mixed,Scavenging_Other,NMVOC_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Beef,Mixed,FeedCrops,NH3_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Beef,Mixed,FodderHerb_Residue,NH3_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Beef,Mixed,Pasture_FodderGrass,NH3_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Beef,Pastoral,Pasture_FodderGrass,NH3_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Beef,Mixed,Scavenging_Other,NH3_AGR,Agriculture,Beef,Agriculture - Livestock Waste,Nonpoint,Miscellaneous Area Sources,Agriculture Production - Livestock
Corn,CornC4_ArkWhtRedR,CornC4_ArkWhtRedR_IRR_hi,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_ArkWhtRedR,CornC4_ArkWhtRedR_IRR_lo,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_ArkWhtRedR,CornC4_ArkWhtRedR_RFD_hi,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_ArkWhtRedR,CornC4_ArkWhtRedR_RFD_lo,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_California,CornC4_California_IRR_hi,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_California,CornC4_California_IRR_lo,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_California,CornC4_California_RFD_hi,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_California,CornC4_California_RFD_lo,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_Caribbean,CornC4_Caribbean_IRR_hi,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_Caribbean,CornC4_Caribbean_IRR_lo,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_FraserR,CornC4_FraserR_IRR_hi,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_FraserR,CornC4_FraserR_IRR_lo,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_FraserR,CornC4_FraserR_RFD_hi,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_FraserR,CornC4_FraserR_RFD_lo,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_GreatBasin,CornC4_GreatBasin_IRR_hi,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_GreatBasin,CornC4_GreatBasin_IRR_lo,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_GreatBasin,CornC4_GreatBasin_RFD_hi,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
Corn,CornC4_GreatBasin,CornC4_GreatBasin_RFD_lo,NOx_AGR,Agriculture,Corn,Mobile - Non-Road Equipment - Diesel,Nonroad,Mobile Sources,Off-highway Vehicle Diesel
