Facility Type,Sector,ghg
"Aircraft, Aerospace, or Related Parts Plant",Industry (energy + processes),CO
"Aircraft, Aerospace, or Related Parts Plant",Industry (energy + processes),PM10
"Aircraft, Aerospace, or Related Parts Plant",Industry (energy + processes),PM2.5
"Aircraft, Aerospace, or Related Parts Plant",Industry (energy + processes),NOx
"Aircraft, Aerospace, or Related Parts Plant",Industry (energy + processes),SO2_1
"Aircraft, Aerospace, or Related Parts Plant",Industry (energy + processes),NH3
"Aircraft, Aerospace, or Related Parts Plant",Industry (energy + processes),NMVOC
"Aircraft, Aerospace, or Related Parts Plant",Industry (energy + processes),PM10_AGG
"Aircraft, Aerospace, or Related Parts Plant",Industry (energy + processes),PM2.5_AGG
Airport,Aviation,CO
Airport,Aviation,PM10
Airport,Aviation,PM2.5
Airport,Aviation,NOx
Airport,Aviation,SO2_1
Airport,Aviation,NH3
Airport,Aviation,NMVOC
Airport,Aviation,PM10_AGG
Airport,Aviation,PM2.5_AGG
Alumina Refinery,Industry (energy + processes),CO
Alumina Refinery,Industry (energy + processes),PM10
Alumina Refinery,Industry (energy + processes),PM2.5
Alumina Refinery,Industry (energy + processes),NOx
Alumina Refinery,Industry (energy + processes),SO2_1
Alumina Refinery,Industry (energy + processes),NH3
Alumina Refinery,Industry (energy + processes),NMVOC
Alumina Refinery,Industry (energy + processes),PM10_AGG
Alumina Refinery,Industry (energy + processes),PM2.5_AGG
Animal Feedlot or Farm,Animals,CO
Animal Feedlot or Farm,Animals,PM10
Animal Feedlot or Farm,Animals,PM2.5
Animal Feedlot or Farm,Animals,NOx_AGR
Animal Feedlot or Farm,Animals,SO2_1
Animal Feedlot or Farm,Animals,NH3_AGR
Animal Feedlot or Farm,Animals,NMVOC_AGR
Animal Feedlot or Farm,Animals,PM10_AGG
Animal Feedlot or Farm,Animals,PM2.5_AGG
"Auto Body, Painting, or Repair Shop",Industry (energy + processes),CO
"Auto Body, Painting, or Repair Shop",Industry (energy + processes),PM10
"Auto Body, Painting, or Repair Shop",Industry (energy + processes),PM2.5
"Auto Body, Painting, or Repair Shop",Industry (energy + processes),NOx
"Auto Body, Painting, or Repair Shop",Industry (energy + processes),SO2_1
"Auto Body, Painting, or Repair Shop",Industry (energy + processes),NH3
"Auto Body, Painting, or Repair Shop",Industry (energy + processes),NMVOC
"Auto Body, Painting, or Repair Shop",Industry (energy + processes),PM10_AGG
"Auto Body, Painting, or Repair Shop",Industry (energy + processes),PM2.5_AGG
Automobile/Truck or Parts Plant,Industry (energy + processes),CO
Automobile/Truck or Parts Plant,Industry (energy + processes),PM10
Automobile/Truck or Parts Plant,Industry (energy + processes),PM2.5
Automobile/Truck or Parts Plant,Industry (energy + processes),NOx
Automobile/Truck or Parts Plant,Industry (energy + processes),SO2_1
Automobile/Truck or Parts Plant,Industry (energy + processes),NH3
Automobile/Truck or Parts Plant,Industry (energy + processes),NMVOC
Automobile/Truck or Parts Plant,Industry (energy + processes),PM10_AGG
Automobile/Truck or Parts Plant,Industry (energy + processes),PM2.5_AGG
Bakeries,Industry (energy + processes),CO
Bakeries,Industry (energy + processes),PM10
Bakeries,Industry (energy + processes),PM2.5
Bakeries,Industry (energy + processes),NOx
Bakeries,Industry (energy + processes),SO2_1
Bakeries,Industry (energy + processes),NH3
Bakeries,Industry (energy + processes),NMVOC
Bakeries,Industry (energy + processes),PM10_AGG
Bakeries,Industry (energy + processes),PM2.5_AGG
Battery Plant,Industry (energy + processes),CO
Battery Plant,Industry (energy + processes),PM10
Battery Plant,Industry (energy + processes),PM2.5
Battery Plant,Industry (energy + processes),NOx
Battery Plant,Industry (energy + processes),SO2_1
Battery Plant,Industry (energy + processes),NH3
Battery Plant,Industry (energy + processes),NMVOC
Battery Plant,Industry (energy + processes),PM10_AGG
Battery Plant,Industry (energy + processes),PM2.5_AGG
Breweries/Distilleries/Wineries,Industry (energy + processes),CO
Breweries/Distilleries/Wineries,Industry (energy + processes),PM10
Breweries/Distilleries/Wineries,Industry (energy + processes),PM2.5
Breweries/Distilleries/Wineries,Industry (energy + processes),NOx
Breweries/Distilleries/Wineries,Industry (energy + processes),SO2_1
Breweries/Distilleries/Wineries,Industry (energy + processes),NH3
Breweries/Distilleries/Wineries,Industry (energy + processes),NMVOC
Breweries/Distilleries/Wineries,Industry (energy + processes),PM10_AGG
Breweries/Distilleries/Wineries,Industry (energy + processes),PM2.5_AGG
"Brick, Structural Clay, or Clay Ceramics Plant",Industry (energy + processes),CO
"Brick, Structural Clay, or Clay Ceramics Plant",Industry (energy + processes),PM10
"Brick, Structural Clay, or Clay Ceramics Plant",Industry (energy + processes),PM2.5
"Brick, Structural Clay, or Clay Ceramics Plant",Industry (energy + processes),NOx
"Brick, Structural Clay, or Clay Ceramics Plant",Industry (energy + processes),SO2_1
"Brick, Structural Clay, or Clay Ceramics Plant",Industry (energy + processes),NH3
"Brick, Structural Clay, or Clay Ceramics Plant",Industry (energy + processes),NMVOC
"Brick, Structural Clay, or Clay Ceramics Plant",Industry (energy + processes),PM10_AGG
"Brick, Structural Clay, or Clay Ceramics Plant",Industry (energy + processes),PM2.5_AGG
Calcined Pet Coke Plant,Industry (energy + processes),CO
Calcined Pet Coke Plant,Industry (energy + processes),PM10
Calcined Pet Coke Plant,Industry (energy + processes),PM2.5
Calcined Pet Coke Plant,Industry (energy + processes),NOx
Calcined Pet Coke Plant,Industry (energy + processes),SO2_1
Calcined Pet Coke Plant,Industry (energy + processes),NH3
Calcined Pet Coke Plant,Industry (energy + processes),NMVOC
Calcined Pet Coke Plant,Industry (energy + processes),PM10_AGG
