region,supplysector,subsector0,subsector,technology,year,ghg,emiss.coef
AK,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
AK,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
AK,base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
AK,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
AK,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
AK,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
AK,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
AK,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
AL,base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
AL,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
AL,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
AL,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
AL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
AL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
AL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
AL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
AR,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
AR,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
AR,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
AR,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
AR,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
AR,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
AZ,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
AZ,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
AZ,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
AZ,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
AZ,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
AZ,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
CA,base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
CA,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
CA,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
CA,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
CA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
CA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
CA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
CA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
CO,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
CO,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
CO,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
CO,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
CO,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
CO,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
CT,base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
CT,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
CT,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
CT,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
CT,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
CT,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
CT,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
CT,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
DC,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
DC,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
DC,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
DC,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
DC,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
DC,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
DE,base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
DE,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
DE,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
DE,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
DE,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
DE,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
DE,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
DE,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
FL,base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
FL,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
FL,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
FL,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
FL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
FL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
FL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
FL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
GA,base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
GA,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
GA,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
GA,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
GA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
GA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
GA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
GA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
HI,base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
HI,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
HI,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
HI,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
HI,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
HI,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
HI,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
HI,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
IA,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
IA,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
IA,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
IA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
IA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
IA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
ID,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
ID,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
ID,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
ID,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
ID,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
ID,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
IL,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
IL,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
IL,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
IL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
IL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
IL,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
IN,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
IN,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
IN,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
IN,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
IN,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
IN,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
KS,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
KS,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
KS,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
KS,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
KS,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
KS,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
KY,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
KY,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
KY,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
KY,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
KY,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
KY,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
LA,base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
LA,base load generation,coal,coal_base_IGCC,coal (IGCC) (once through),2020,BC,4.18E-04
LA,base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2020,BC,4.18E-04
LA,base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2020,BC,4.18E-04
LA,intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2020,BC,4.18E-04
